Barcode,Bio Sample (delete entire rows of barcodes not used; allowed characters: alphanumeric space dot underscore hyphen. Other characters will be automatically removed.)
bc1005--bc1033,NC_culp24
bc1005--bc1035,MIC52185
bc1005--bc1044,MIC52193
bc1005--bc1045,MIC52201
bc1005--bc1054,MIC52209
bc1005--bc1056,MIC52217
bc1005--bc1057,MIC52225
bc1005--bc1059,MIC52233
bc1005--bc1060,MIC52241
bc1005--bc1062,MIC52249
bc1005--bc1065,MIC52257
bc1005--bc1075,MIC52265
bc1007--bc1033,MIC52178
bc1007--bc1035,MIC52186
bc1007--bc1044,MIC52194
bc1007--bc1045,MIC52202
bc1007--bc1054,MIC52210
bc1007--bc1056,MIC52218
bc1007--bc1057,MIC52226
bc1007--bc1059,MIC52234
bc1007--bc1060,MIC52242
bc1007--bc1062,MIC52250
bc1007--bc1065,MIC52258
bc1007--bc1075,MIC52266
bc1008--bc1033,MIC52179
bc1008--bc1035,MIC52187
bc1008--bc1044,MIC52195
bc1008--bc1045,MIC52203
bc1008--bc1054,MIC52211
bc1008--bc1056,MIC52219
bc1008--bc1057,MIC52227
bc1008--bc1059,MIC52235
bc1008--bc1060,MIC52243
bc1008--bc1062,MIC52251
bc1008--bc1065,MIC52259
bc1008--bc1075,MIC52267
bc1012--bc1033,MIC52180
bc1012--bc1035,MIC52188
bc1012--bc1044,MIC52196
bc1012--bc1045,MIC52204
bc1012--bc1054,MIC52212
bc1012--bc1056,MIC52220
bc1012--bc1057,MIC52228
bc1012--bc1059,MIC52236
bc1012--bc1060,MIC52244
bc1012--bc1062,MIC52252
bc1012--bc1065,MIC52260
bc1012--bc1075,MIC52268
bc1015--bc1033,MIC52181
bc1015--bc1035,MIC52189
bc1015--bc1044,MIC52197
bc1015--bc1045,MIC52205
bc1015--bc1054,MIC52213
bc1015--bc1056,MIC52221
bc1015--bc1057,MIC52229
bc1015--bc1059,MIC52237
bc1015--bc1060,MIC52245
bc1015--bc1062,MIC52253
bc1015--bc1065,MIC52261
bc1015--bc1075,MIC52269
bc1020--bc1033,MIC52182
bc1020--bc1035,MIC52190
bc1020--bc1044,MIC52198
bc1020--bc1045,MIC52206
bc1020--bc1054,MIC52214
bc1020--bc1056,MIC52222
bc1020--bc1057,MIC52230
bc1020--bc1059,MIC52238
bc1020--bc1060,MIC52246
bc1020--bc1062,MIC52254
bc1020--bc1065,MIC52262
bc1020--bc1075,MIC52270
bc1022--bc1033,MIC52183
bc1022--bc1035,MIC52191
bc1022--bc1044,MIC52199
bc1022--bc1045,MIC52207
bc1022--bc1054,MIC52215
bc1022--bc1056,MIC52223
bc1022--bc1057,MIC52231
bc1022--bc1059,MIC52239
bc1022--bc1060,MIC52247
bc1022--bc1062,MIC52255
bc1022--bc1065,MIC52263
bc1022--bc1075,MIC52271
bc1024--bc1033,MIC52184
bc1024--bc1035,MIC52192
bc1024--bc1044,MIC52200
bc1024--bc1045,MIC52208
bc1024--bc1054,MIC52216
bc1024--bc1056,MIC52224
bc1024--bc1057,MIC52232
bc1024--bc1059,MIC52240
bc1024--bc1060,MIC52248
bc1024--bc1062,MIC52256
bc1024--bc1065,MIC52264
bc1024--bc1075,MIC52272
bc1005--bc1076,NC_culp25
bc1005--bc1082,MIC52281
bc1005--bc1083,MIC52289
bc1005--bc1089,MIC52297
bc1005--bc1096,MIC52305
bc1005--bc1098,MIC52313
bc1005--bc1100,MIC52321
bc1005--bc1101,MIC52329
bc1005--bc1105,MIC52337
bc1005--bc1107,MIC52345
bc1005--bc1110,MIC52353
bc1005--bc1112,MIC52361
bc1007--bc1076,MIC52274
bc1007--bc1082,MIC52282
bc1007--bc1083,MIC52290
bc1007--bc1089,MIC52298
bc1007--bc1096,MIC52306
bc1007--bc1098,MIC52314
bc1007--bc1100,MIC52322
bc1007--bc1101,MIC52330
bc1007--bc1105,MIC52338
bc1007--bc1107,MIC52346
bc1007--bc1110,MIC52354
bc1007--bc1112,MIC52362
bc1008--bc1076,MIC52275
bc1008--bc1082,MIC52283
bc1008--bc1083,MIC52291
bc1008--bc1089,MIC52299
bc1008--bc1096,MIC52307
bc1008--bc1098,MIC52315
bc1008--bc1100,MIC52323
bc1008--bc1101,MIC52331
bc1008--bc1105,MIC52339
bc1008--bc1107,MIC52347
bc1008--bc1110,MIC52355
bc1008--bc1112,MIC52363
bc1012--bc1076,MIC52276
bc1012--bc1082,MIC52284
bc1012--bc1083,MIC52292
bc1012--bc1089,MIC52300
bc1012--bc1096,MIC52308
bc1012--bc1098,MIC52316
bc1012--bc1100,MIC52324
bc1012--bc1101,MIC52332
bc1012--bc1105,MIC52340
bc1012--bc1107,MIC52348
bc1012--bc1110,MIC52356
bc1012--bc1112,MIC52364
bc1015--bc1076,MIC52277
bc1015--bc1082,MIC52285
bc1015--bc1083,MIC52293
bc1015--bc1089,MIC52301
bc1015--bc1096,MIC52309
bc1015--bc1098,MIC52317
bc1015--bc1100,MIC52325
bc1015--bc1101,MIC52333
bc1015--bc1105,MIC52341
bc1015--bc1107,MIC52349
bc1015--bc1110,MIC52357
bc1015--bc1112,MIC52365
bc1020--bc1076,MIC52278
bc1020--bc1082,MIC52286
bc1020--bc1083,MIC52294
bc1020--bc1089,MIC52302
bc1020--bc1096,MIC52310
bc1020--bc1098,MIC52318
bc1020--bc1100,MIC52326
bc1020--bc1101,MIC52334
bc1020--bc1105,MIC52342
bc1020--bc1107,MIC52350
bc1020--bc1110,MIC52358
bc1020--bc1112,MIC52366
bc1022--bc1076,MIC52279
bc1022--bc1082,MIC52287
bc1022--bc1083,MIC52295
bc1022--bc1089,MIC52303
bc1022--bc1096,MIC52311
bc1022--bc1098,MIC52319
bc1022--bc1100,MIC52327
bc1022--bc1101,MIC52335
bc1022--bc1105,MIC52343
bc1022--bc1107,MIC52351
bc1022--bc1110,MIC52359
bc1022--bc1112,MIC52367
bc1024--bc1076,MIC52280
bc1024--bc1082,MIC52288
bc1024--bc1083,MIC52296
bc1024--bc1089,MIC52304
bc1024--bc1096,MIC52312
bc1024--bc1098,MIC52320
bc1024--bc1100,MIC52328
bc1024--bc1101,MIC52336
bc1024--bc1105,MIC52344
bc1024--bc1107,MIC52352
bc1024--bc1110,MIC52360
bc1024--bc1112,MIC52368
